Wvlgth nm,Global tilt W*m-2*nm-1
549.331,412.65
549.687,420.1
550.044,447.4
550.401,457.33
550.758,430.02
551.114,405.2
551.471,462.29
551.828,457.33
552.184,402.72
552.541,397.76
552.897,415.13
553.254,355.56
553.61,392.79
553.966,395.28
554.323,372.94
554.679,400.24
555.035,365.49
555.391,365.49
555.747,335.7
556.103,430.02
556.459,363.01
556.815,425.06
557.171,340.67
557.527,395.28
557.883,377.9
558.239,380.38
558.594,315.85
558.95,367.97
559.306,410.17
559.661,343.15
560.017,353.08
560.372,380.38
560.728,427.54
561.083,392.79
561.438,420.1
561.794,385.35
562.149,412.65
562.504,377.9
562.859,454.85
563.215,382.86
563.57,390.31
563.925,449.88
564.28,442.44
564.635,315.85
564.99,315.85
565.344,392.79
565.699,397.76
566.054,355.56
566.409,395.28
566.763,415.13
567.118,385.35
567.473,382.86
567.827,449.88
568.182,355.56
568.536,340.67
568.891,325.78
569.245,415.13
569.599,348.12
569.953,325.78
570.308,343.15
570.662,355.56
571.016,355.56
571.37,372.94
571.724,420.1
572.078,395.28
572.432,360.53
572.786,350.6
573.14,345.63
573.494,377.9
573.847,375.42
574.201,382.86
574.555,387.83
574.908,415.13
575.262,422.58
575.615,360.53
575.969,385.35
576.322,417.61
576.676,400.24
577.029,405.2
577.382,462.29
577.736,365.49
578.089,402.72
578.442,377.9
578.795,345.63
579.148,415.13
579.501,360.53
579.854,484.63
580.207,417.61
580.56,434.99
580.913,434.99
581.265,402.72
581.618,410.17
581.971,353.08
582.324,365.49
582.676,415.13
583.029,395.28
583.381,382.86
583.734,395.28
584.086,439.95
584.438,415.13
584.791,474.7
585.143,400.24
585.495,449.88
585.847,382.86
586.2,390.31
586.552,405.2
586.904,363.01
587.256,452.36
587.608,395.28
587.959,397.76
588.311,360.53
588.663,345.63
589.015,420.1
589.367,449.88
589.718,382.86
590.07,323.29
590.421,360.53
590.773,402.72
591.124,412.65
591.476,395.28
591.827,390.31
592.179,382.86
592.53,474.7
592.881,405.2
593.232,410.17
593.584,472.22
593.935,494.56
594.286,430.02
594.637,375.42
594.988,377.9
595.339,395.28
595.689,400.24
596.04,338.19
596.391,335.7
596.742,402.72
597.092,335.7
597.443,412.65
597.794,397.76
598.144,365.49
598.495,415.13
598.845,355.56
599.196,380.38
599.546,377.9
599.896,385.35
600.247,385.35
600.597,400.24
600.947,377.9
601.297,392.79
601.647,335.7
601.997,405.2
602.347,452.36
602.697,358.04
603.047,400.24
603.397,340.67
603.747,415.13
604.096,355.56
604.446,417.61
604.796,397.76
605.145,313.37
605.495,400.24
605.844,415.13
606.194,392.79
606.543,328.26
606.893,390.31
607.242,467.26
607.591,345.63
607.94,420.1
608.29,392.79
608.639,377.9
608.988,382.86
609.337,360.53
609.686,437.47
610.035,494.56
610.384,497.04
610.733,578.95
611.081,586.4
611.43,546.68
611.779,588.88
